ui_path,object_id,widget_class,policy,notification_profile,exclusion_reason
sc/uiconfig/scalc/ui/advancedfilterdialog.ui,AdvancedFilterDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/allheaderfooterdialog.ui,AllHeaderFooterDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/analysisofvariancedialog.ui,AnalysisOfVarianceDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/autoformattable.ui,AutoFormatTableDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/changesourcedialog.ui,ChangeSourceDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/chardialog.ui,CharDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/checkwarningdialog.ui,CheckWarningDialog,GtkMessageDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/chisquaretestdialog.ui,ChiSquareTestDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/colorrowdialog.ui,ColOrRowDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/colwidthdialog.ui,ColWidthDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/condformatmanager.ui,CondFormatManager,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/conditionaleasydialog.ui,CondFormatEasyDlg,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/conditionalformatdialog.ui,ConditionalFormatDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/conflictsdialog.ui,ConflictsDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/consolidatedialog.ui,ConsolidateDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/correlationdialog.ui,CorrelationDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/covariancedialog.ui,CovarianceDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/createnamesdialog.ui,CreateNamesDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/dapiservicedialog.ui,DapiserviceDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/databaroptions.ui,DataBarOptions,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/datafielddialog.ui,DataFieldDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/datafieldoptionsdialog.ui,DataFieldOptionsDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/dataform.ui,DataFormDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/dataproviderdlg.ui,dataproviderdlg,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/datastreams.ui,DataStreamDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/definedatabaserangedialog.ui,DefineDatabaseRangeDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/definename.ui,DefineNameDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/definetablerangedialog.ui,tablerangedialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/deletecells.ui,DeleteCellsDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/deletecontents.ui,DeleteContentsDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/descriptivestatisticsdialog.ui,DescriptiveStatisticsDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/doubledialog.ui,DoubleDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/drawtemplatedialog.ui,DrawTemplateDialog,GtkDialog,bottom-right-notification-form,default,
sc/uiconfig/scalc/ui/duplicaterecordsdlg.ui,DuplicateRecordsDialog,GtkDialog,bottom-right-notification-form,default,
